nGenos,nEnvs,nBlocks
1000,1,1
500,2,1
250,4,1
200,5,1
1000,1,2
500,2,2
250,4,2
200,5,2
1000,1,3
500,2,3
250,4,3
200,5,3
1000,1,4
500,2,4
250,4,4
200,5,4
2000,1,1
1000,2,1
500,4,1
250,8,1
2000,1,2
1000,2,2
500,4,2
250,8,2
2000,1,3
1000,2,3
500,4,3
250,8,3
2000,1,4
1000,2,4
500,4,4
250,8,4
3000,1,1
1500,2,1
750,4,1
600,5,1
3000,1,2
1500,2,2
750,4,2
600,5,2
3000,1,3
1500,2,3
750,4,3
600,5,3
3000,1,4
1500,2,4
750,4,4
600,5,4
600,10,4
600,15,4
600,20,4
600,25,4
